"ID","Date","Location","Tweet","Quoted Tweet Text",,,
"1222668259247448064","2020-01-29 23:50:03","Oceanside, NY","@realDonaldTrump Pandemic update https://t.co/WGOA7Qjyh9",,,,
"1222668258798497792","2020-01-29 23:50:03","Bloomington, CA","Windy ass hell &amp"," corona virus out here.. time to start rocking my gas smask again",,,
"1222668203010162699","2020-01-29 23:49:50","Cleveland, OH","My nikkas said “ion care of my bm got the corona virus I’m not missing dis show “ 🤢🔥🔥🙏🏽😅",,,,
"1222668196706181124","2020-01-29 23:49:48","Oceanside, NY","@realDonaldTrump Pandemic update https://t.co/WGOA7Qjyh9",,,,
"1222668194202124288","2020-01-29 23:49:48","Tyrkia","This Corona virus is giving my anxiety 🤯☠️",,,,
"1222668101310992385","2020-01-29 23:49:26","Ohio!","hey @lorenzabraham12 i heard corona virus is going around, you shouldn’t be drinking that stuff. :(",,,,
"1222668028850188288","2020-01-29 23:49:08","New Castle, CO","No joke.. the Corona virus is actually getting pretty bad. It’s growing exponentially faster and killing more people than any modern day outbreak. We’re far overdue for a pandemic. This might be the one that thins the population. The vaccine is a year out and over 100 have died.",,,,
"1222668008998555655","2020-01-29 23:49:04","Texas","@TedCruz, making Texans ashamed of their senators 365 days of the year. I’m sure Ted thinks that question was clever. The look on Chief Justice Robert’s face says otherwise ... #WeWantWitnesses https://t.co/x8obEH6dZj","This is what Ted Cruz has decided his historical legacy will be: Using his Senate seat to spread conspiracy theories to assist the coverup of the president who smeared his wife and father on the campaign trail. https://t.co/2arhTwkP31",,,
"1222667966908485633","2020-01-29 23:48:54","Nevada, USA","The virus has nothing to do with Corona beer https://t.co/OqbmGK6TNa via @USATODAY",,,,
"1222667909299916800","2020-01-29 23:48:40","England","@MaddiWalters so the corona virus is a new strand of virus never seen in humans before although it statistically has a lower mortality rate so we gucci for now",,,,
"1222667863003189248","2020-01-29 23:48:29","Alphen aan den Rijn, Nederland","@blau_shrf But This time it aint the flu niffo its Corona",,,,
"1222667790449926145","2020-01-29 23:48:11","United States","@apandahvevo how to fight corona virus",,,,
"1222667704353591298","2020-01-29 23:47:51","Liverpool, England","How the actual fuck did Mrs Brown's Boys win over #AfterLife??? I mean seriously? Has the Corona Virus ready taken everyone's mental output? https://t.co/1bme0gXvEw","What a fucking bunch of losers. Congratulations to Mrs Brown’s Boys. Democracy always wins. Be nice in defeat and know that you are still the best fans in the world. Thanks to everyone who voted 🙏#AfterLife #NTAs https://t.co/Grzk7o6k8r",,,
"1222667699320426499","2020-01-29 23:47:50","Dublin, Ireland","@fionnmcgorry have you ever played pandemic?
https://t.co/C7swhGTrLw",,,,
"1222667644559486977","2020-01-29 23:47:37","New Zealand","@ZaisFN some of the wood may have a trace of the corona virus if thats ok with you?",,,,
"1222667623785103361","2020-01-29 23:47:32","Singapore","Even before corona, there have been several confirmed cases in PH government.  https://t.co/a0lVpH1SAF",,,,
"1222667609507815427","2020-01-29 23:47:28","Paris, AR","The one year I don’t get my flu shot the corona virus is in the U.S. my bad luck is stellar at this point",,,,
"1222667587298791424","2020-01-29 23:47:23","Queensland,Australia","@DawnKnight5_ enjoy your corona",,,,
"1222667578377719808","2020-01-29 23:47:21","Atlanta, GA","In the airport. People coughing. Corona virus on the loose.
 
1222667558060482560,2020-01-29 23:47:16,""Dothan, AL","As long as you don’t drink @corona you should be good to go! https://t.co/xejyAkARZB","@CDCgov should I cancel my trip to China/Japan that’s February 19 through March 2?",,
"1222667523331633158","2020-01-29 23:47:08","Texas, USA","@Styx666Official But Kobe died. Were suppose to pay attention to that. (Rest his and his daughters soul.. it was a sad event). Not suppose to keep paying attention to the Corona Virus outbreak. Geez Styx.",,,,
"1222667511470014464","2020-01-29 23:47:05","Tucson, AZ","I wonder how Corona’s stock is doing with all this talk of a corona virus 🦠 https://t.co/X0fLzk6chL",,,,
"1222667509154951170","2020-01-29 23:47:04","Spokane, Washington","Coronavirus isn't linked to Corona beer, but some people seem to think it is https://t.co/CLLmzn1fYL",,,,
"1222667476732981248","2020-01-29 23:46:57","Ga","**watching world news***
London ...Momma  you want me to throw  grandma corona away. 
Me...why, that’s mine. &amp; Grandama drinks bud light. 
London ...cause y’all  gone get the virus 
Me..😂😂😂😂😂😂",,,,
"1222667412392366080","2020-01-29 23:46:41","Toronto ON","Racism toward the Chinese population here in Canada for the Corona virus is inexcusable. We're bigger than that.🇨🇦",,,,
"1222667382633762817","2020-01-29 23:46:34","Haslet, TX","Corona Virus is now know as the Kung Flu 🦠 #kungflu",,,,
"1222667363478396931","2020-01-29 23:46:30","West Palm Beach, FL","@Tmaradona10 That corona virus gettin them so quick BOIIIII",,,,
"1222667342091628547","2020-01-29 23:46:25","Kentucky, USA","@Stonekettle However limes possibly make both better. (Corona viruses also cause the common cold)",,,,
"1222667297355112450","2020-01-29 23:46:14","Halifax, NS","@KathyBuckworth @Netflix_CA @goop Pandemic, on the other hand, is gripping. And science! (Except for a small bit on the anti-vaxxers). The folks working in this field are amazing.",,,,
"1222667294620422145","2020-01-29 23:46:13","MANCHESTER","corona virus and lime",,,,
"1222667232599330824","2020-01-29 23:45:58","Toronto, Ontario Canada","Serious question. With the Corona outbreak, have you shied away from ordering chinese takeout or eating in? Overheard 4 separate conversations at various work sites that ppl not going to order until it's over. Are you stopping?",,,,
"1222667213343092736","2020-01-29 23:45:54","東京","pandemic compliance",,,,
"1222667176965890048","2020-01-29 23:45:45","Highland, CA","I posted I was eating at noodle 21, someone responded I was going to get corona virus  💀",,,,
"1222667170909474816","2020-01-29 23:45:44","İstanbul","@pkllb225 Normal corona virus uğğpphhh",,,,
"1222667163481399296","2020-01-29 23:45:42","Hot Springs, AR","corona in little rock , we getting outta school orrr ??",,,,
"1222667159849111554","2020-01-29 23:45:41","Louisville, KY","@FiboSwanny “The scenario ends at the 18-month point, with 65 million deaths. The pandemic is beginning to slow due to the decreasing number of susceptible people. The pandemic will continue at some rate until there is an effective vaccine or until 80-90 % of global population been exposed”",,,,
"1222667151162605569","2020-01-29 23:45:39","Davenport, FL","Every time someone gets sneezed on, a Corona gets its lime",,,,
"1222667140781813761","2020-01-29 23:45:37","Schweiz","@kikiiffxiv hi corona virus",,,,
"1222667128689635328","2020-01-29 23:45:34","Iowa, USA","@PATIMA_BLUSH @allidoisowen I'm glad you reminded me to get back to you. I need to correct the information that I posted previously. After making that post I read in a couple of different places that the Corona virus probably comes from an animal source. I apologize for referencing an unknown source ...",,,,
"1222667122561732608","2020-01-29 23:45:32","Dallas, TX","Tesla announcing Q1 expectations low (capital requirements and Corona virus) !   How does a company make up their own reporting metrics ?",,,,
"1222667061312122880","2020-01-29 23:45:18","New South Wales, Australia","@CatPurry9 China has confirmed it now has more cases of corona than SARS - but SARS had a 9.6% fatality rate .... common influenza 13% - I agree with you - it seems a big fuss over a relatively benign outbreak at the moment - just because it’s “new” doesn’t automatically make it “bad”",,,,
"1222667021197836290","2020-01-29 23:45:08","Bangalore, India","@corona what did you do in China?",,,,
"1222667017477476352","2020-01-29 23:45:07","United States","@JordanWells33 @TESLAcharts Bail them out? Any other company would be materially harmed by a pandemic.",,,,
"1222666986150383618","2020-01-29 23:45:00","Auckland, New Zealand","Random Dumber: Pandemic: Look Back 100 Years To Visualise The Potential Impact Of 2019 Coronavirus -- https://t.co/506CbM8FBl",,,,
"1222666975014338560","2020-01-29 23:44:57","Folsom, Ca","Need authoritative up to date information on novel corona virus? Find your County Public Health Officer’s website.  Lots of information from the State Health Officer, USPHS &amp; CDC.  Vigilance and common flu precautions are the prophylactics of the moment #CoronavirusOutbreak",,,,
"1222666953212530688","2020-01-29 23:44:52","Boston, MA","the number of people at DFW airport wearing surgical masks is ridiculous. panic is going to get us before pandemic does. and @netflix promoting its Pandemic documentary is just irresponsible.",,,,
"1222666826288513025","2020-01-29 23:44:22","Philippines","SOUTH KOREA HAS IT'S 4TH CONFIRMED CORONA VIRUS!!!!! Army's in SK pleaaaassee take care!!!!! 😩💜 #coronaravirus",,,,
"1222666823126200321","2020-01-29 23:44:21","Croydon, London","Corona virus wont last long because it was made in china",,,,
"1222666711842926592","2020-01-29 23:43:54","Buzzards Bay, MA","i wonder if corona sales have gone up in the last week due to all this free marketing #coronavirus",,,,
"1222666699788304384","2020-01-29 23:43:51","Auckland, New Zealand","Thinking about this makes me taste it and honestly, I'd rather get the Coronavirus from a corona bottle... https://t.co/Qkwl1iwnQm","Bartender: 
“Would you like to taste actual poison?”
Me:
“Sure.” https://t.co/nI7rY77Wg4",,,
"1222666692641333248","2020-01-29 23:43:50","London, England","@Howie__ja Influenza pandemic killed 100 million people... This is not something we want to occur again. Especially in this modern world where people in the developing world will be hit hardest...",,,,
"1222666666263437312","2020-01-29 23:43:43","United States","@25ShadesOfBrown Do they have a cure for Corona?",,,,
"1222666660391206913","2020-01-29 23:43:42","Philippines","From Corona to China that quick. https://t.co/09t9sn98Nr","WHO warns world to 'take action' over China virus https://t.co/AmjcG39M81",,,
"1222666633606520832","2020-01-29 23:43:36","Barbados","This corona virus is really just China's way of population control smh.",,,,
"1222666623137378304","2020-01-29 23:43:33","Princeville, Kauai, Hawaii","@maziehirono @realDonaldTrump What a great idea. Attacking the ACA with a potential pandemic warming up in China. So much winning!",,,,
"1222666590010908678","2020-01-29 23:43:25","Florida, USA","Nancy you taking in the Possible Corona virus Americans would be a very prayerful &amp"," Somber moment for you. Ya THINK???",,,
"1222666480862425088","2020-01-29 23:42:59","Los Angeles, California","Beware the Pandemic Panic Coronavirus is scary. How we respond to it may be worse.
By Farhad Manjoo  https://t.co/6avfIZFegx",,,,
"1222666478698319872","2020-01-29 23:42:59","st albans","The Wuhan Corona virus isn’t your platform and excuse to be intrinsically racist. 
This has been a ted talk.",,,,
