"ID","Date","Location","Tweet","Quoted Tweet Text",,
"1221944841921290243","2020-01-27 23:55:27","Mar del Plata, Argentina","Ahora al kirchnerismo lo llaman coronavirus https://t.co/Hym7IktFzE","Efecto coronavirus en la bolsa porteña: se desploman acciones y bonos  https://t.co/bJemEIBMPm",,
"1221944841564819456","2020-01-27 23:55:27","Santiago, Chile","🔴 #AlertaT13 | Confirman primer caso de coronavirus en Alemania » https://t.co/fq8DSxIkdJ https://t.co/HV2H3MkDkI",,,
"1221944822434537472","2020-01-27 23:55:22","CHILE","hay 4 posibles casos de coronavirus en perú weon,si llegó allá demas llega a chile hasta aquí llegamos fue un gusto",,,
"1221944808102678536","2020-01-27 23:55:19","Córdoba, Argentina","tienen planificado en 2 semanas la finalización de 2 hospitales móviles para tratar un principio de pandemia relacionada al Coronavirus.
La desidia es increíble, espero ver el día de la caída del populismo berreta que ha llevado a la decadencia a este país.",,,
"1221944801450438657","2020-01-27 23:55:17","Distrito Federal, México","Chilangos: jajaja, aquí nunca nos enfermamos porque nuestros tacos son de perro si bien nos va.
Chilangos también: ay, ya viste que el Coronavirus fue porque alguien comió murciélago? Ya no voy a ir al panda express",,,
"1221944794672443393","2020-01-27 23:55:16","Paraguay","@flogismondi @aisman6 Realmente no pueden contagiar a nadie Flo porque el virus se transmite recién una vez que se presenten los síntomas, no antes. Esto según los últimos estudios científicos respecto al nuevo Coronavirus. Te hablo de medicina basada en evidencia.",,,
"1221944768625856512","2020-01-27 23:55:10","Ciudad del Libertador General ","@MayorBWPayne Coronavirus llamado Albert 😖🤬🤬",,,
"1221944750460358657","2020-01-27 23:55:05","Ciudad de México","Podrían ser cinco millones de casos potenciales de coronavirus en China https://t.co/qIOA6oTlxd https://t.co/zUPA7FvwJE",,,
"1221944746521911296","2020-01-27 23:55:04","Centroamérica","#OMS dice que es alto el riesgo del #coronavirus en el mundo.  ¿Qué significa esto para cada nación? https://t.co/jeYxSvwh1u",,,
"1221944744131072002","2020-01-27 23:55:04","Querétaro, México","#LOCAL En China no hay mexicanos contagiados de coronavirus: Ssa y SRE
https://t.co/ehFXo3arwv https://t.co/0TIUdHMcYk",,,
"1221944743799771136","2020-01-27 23:55:04","Oaxaca, México","#Nacional Coronavirus ‘enferma’ a la economía china https://t.co/cW7dxNQQGj https://t.co/Uh3wntlb5h",,,
"1221944739785859074","2020-01-27 23:55:03","Cuba","#Cuba refuerza medidas de vigilancia y control en fronteras, ante nuevo coronavirus https://t.co/rIdq1jNznH",,,
"1221944727055945729","2020-01-27 23:55:00","Querétaro, México","#LOCAL En China no hay mexicanos contagiados de coronavirus: Ssa y SRE
https://t.co/5aj3Hpo51h https://t.co/LywDbTr1Zq",,,
